"labs","n","solar.bin","distri"
0.2,544200,8629,"ib_pres"
0.4,97075,4842,"ib_pres"
0.6,42995,2400,"ib_pres"
0.8,30822,1547,"ib_pres"
1,38089,1423,"ib_pres"
0.2,344889,4426,"ib_sust"
0.4,254995,7680,"ib_sust"
0.6,121414,5366,"ib_sust"
0.8,31356,1366,"ib_sust"
1,527,3,"ib_sust"
0.2,310414,3493,"ib_foss"
0.4,255357,7317,"ib_foss"
0.6,163338,7013,"ib_foss"
0.8,23586,1002,"ib_foss"
1,486,16,"ib_foss"
0.2,418075,5085,"or_pres"
0.4,126671,5047,"or_pres"
0.6,84121,3873,"or_pres"
0.8,56400,2203,"or_pres"
1,67914,2633,"or_pres"
0.2,422260,5986,"or_sust"
0.4,182250,7242,"or_sust"
0.6,147336,5561,"or_sust"
0.8,1335,52,"or_sust"
0.2,405415,5484,"or_foss"
0.4,199978,7841,"or_foss"
0.6,146649,5466,"or_foss"
0.8,1139,50,"or_foss"
